ContactID,FriendlyName,Text,StartTime,EndTime,Duration,EntityType,Description,RegulatoryCompliance,SpeakerID,SpeakerName
16363669,null,redactcc,152.4,154.4,2,null,null,null,1,Agent
16363669,null,redactcc,234,235.3,1.3,null,null,null,1,Agent
16363673,null,redactcc,457.2,458,0.8,null,null,null,1,Agent
16363673,null,redactcc,459.7,460.3,0.6,null,null,null,1,Agent
16363677,null,redactssn,85.3,86.8,1.5,null,null,null,1,Agent
16363677,null,redactssn,365.3,366,0.7,null,null,null,1,Agent
16363680,null,redactgen,558.1,559.4,1.3,null,null,null,1,Agent
16363680,null,redactcc,604.7,606.7,2,null,null,null,1,Agent
16363681,null,redactcc,364.7,365.1,0.4,null,null,null,1,Agent
16363681,null,redactcc,368.6,370.3,1.7,null,null,null,1,Agent
16363681,null,redactcc,385.6,386.8,1.2,null,null,null,1,Agent
16363681,null,redactcc,386.8,387.7,0.9,null,null,null,1,Agent
16363687,null,redactcc,381.5,382,0.5,null,null,null,1,Agent
16363687,null,redactcc,387,388.7,1.7,null,null,null,1,Agent
16363687,null,redactcc,404.6,405.1,0.5,null,null,null,1,Agent
16363687,null,redactssn,434,435.3,1.3,null,null,null,1,Agent
16363687,null,redactssn,438,438.9,0.9,null,null,null,1,Agent
16363687,null,redactcc,452.8,454.5,1.7,null,null,null,1,Agent
16363687,null,redactcc,542.7,544.4,1.7,null,null,null,1,Agent
16363687,null,redactcc,548.3,551.3,3,null,null,null,1,Agent
16363689,null,redactcc,459,460.2,1.2,null,null,null,1,Agent
16363689,null,redactcc,482,482.7,0.7,null,null,null,1,Agent
16363689,null,redactcc,489.6,490.4,0.8,null,null,null,1,Agent
16363691,null,redactgen,155.3,156.8,1.5,null,null,null,1,Agent
16363691,null,redactcc,570.9,572.8,1.9,null,null,null,1,Agent
16363691,null,redactcc,574,574.7,0.7,null,null,null,1,Agent
16363693,null,redactcc,386.4,387,0.6,null,null,null,1,Agent
16363693,null,redactcc,468.7,469.2,0.5,null,null,null,1,Agent
16363693,null,redactcc,472.8,474,1.2,null,null,null,1,Agent
16363694,null,redactcc,194.2,194.6,0.4,null,null,null,1,Agent
16363694,null,redactcc,198,199.4,1.4,null,null,null,1,Agent
16363694,null,redactcc,208.5,209.4,0.9,null,null,null,1,Agent
16363694,null,redactcvvwd,407.2,413.1,5.9,null,null,null,1,Agent
16363695,null,redactcc,511.7,512.5,0.8,null,null,null,1,Agent
16363695,null,redactcc,516.8,517.7,0.9,null,null,null,1,Agent
16363695,null,redactcc,517.7,520.1,2.4,null,null,null,1,Agent
16363696,null,redactcc,331.5,333.6,2.1,null,null,null,1,Agent
16363697,null,redactcc,322,322.5,0.5,null,null,null,1,Agent
16363697,null,redactcvvwd,377.4,385.5,8.1,null,null,null,1,Agent
16363697,null,redactcc,462,462.8,0.8,null,null,null,1,Agent
16363697,null,redactcc,466.7,467.7,1,null,null,null,1,Agent
16363697,null,redactcc,467.7,468,0.3,null,null,null,1,Agent
16363703,null,redactexp,329.6,330.1,0.5,null,null,null,1,Agent
16363703,null,redactexp,330.2,330.9,0.7,null,null,null,1,Agent
16363704,null,redactcc,507.9,508.9,1,null,null,null,1,Agent
16363704,null,redactcc,518.1,520.6,2.5,null,null,null,1,Agent
16363704,null,redactcc,520.6,521,0.4,null,null,null,1,Agent
16363705,null,redactcvv,298.4,303.8,5.4,null,null,null,1,Agent
16363708,null,redactexp,436.9,437.3,0.4,null,null,null,1,Agent
16363708,null,redactexp,503.8,504.1,0.3,null,null,null,1,Agent
16363708,null,redactcc,611,612.5,1.5,null,null,null,1,Agent
16363708,null,redactcc,617.6,619.6,2,null,null,null,1,Agent
16363709,null,redactccback,228.1,228.6,0.5,null,null,null,1,Agent
16363709,null,redactccback,229.6,234.7,5.1,null,null,null,1,Agent
16363709,null,redactexp,247.5,249.7,2.2,null,null,null,1,Agent
16363709,null,redactexp,250.1,250.2,0.1,null,null,null,1,Agent
16363709,null,redactexp,250.4,251.5,1.1,null,null,null,1,Agent
16363709,null,redactexp,251.9,252.2,0.3,null,null,null,1,Agent
16363710,null,redactcc,160.4,160.8,0.4,null,null,null,1,Agent
16363710,null,redactcc,178.2,178.8,0.6,null,null,null,1,Agent
16363711,null,redactcc,178.5,179.2,0.7,null,null,null,1,Agent
16363711,null,redactcvvwd,264.7,276,11.3,null,null,null,1,Agent
16363711,null,redactexpwd,279.1,283.2,4.1,null,null,null,1,Agent
